"Species"	"SumOfkm2"
"Agnorhiza reticulata"	8682.30
"Agoseris apargioides"	127787.78
"Agoseris aurantiaca"	1997403.69
"Agoseris glauca"	2644043.68
"Agoseris grandiflora"	1015725.82
"Agoseris heterophylla"	1454114.49
"Agoseris hirsuta"	62160.11
"Agoseris monticola"	551034.70
"Agoseris parviflora"	1908179.75
"Agoseris retrorsa"	661202.94
"Agrimonia gryposepala"	1981713.80
"Agrimonia incisa"	139742.87
"Agrimonia microcarpa"	460196.64
"Agrimonia parviflora"	1329186.98
"Agrimonia pubescens"	1558247.13
"Agrimonia rostellata"	1393390.05
"Agrimonia striata"	1738105.33
"Agrostis blasdalei"	16587.65
"Agrostis densiflora"	78790.74
"Agrostis elliottiana"	827695.49
"Agrostis exarata"	2834235.02
"Agrostis hallii"	140644.31
"Agrostis hendersonii"	42880.44
"Agrostis hooveri"	15405.74
"Agrostis howellii"	7161.63
"Agrostis hyemalis"	2679323.07
"Agrostis idahoensis"	1492722.57
"Agrostis lacuna-vernalis"	8401.42
"Agrostis mertensii"	273524.28
"Agrostis microphylla"	269216.05
"Agrostis oregonensis"	553385.24
"Agrostis pallens"	814514.30
"Agrostis perennans"	2424005.52
"Agrostis rossiae"	10916.89
"Agrostis scabra"	4117741.35
"Agrostis variabilis"	1199965.01
"Aletes acaulis"	138358.36
"Aletes humilis"	19934.75
"Aletris aurea"	472008.14
"Aletris bracteata"	7629.71
"Aletris farinosa"	858499.75
"Aletris lutea"	250194.11
"Aletris obovata"	125479.35
"Aliciella caespitosa"	6383.81
"Aliciella cliffordii"	57527.37
"Aliciella formosa"	14339.65
"Aliciella haydenii"	156262.04
"Aliciella heterostyla"	47053.01
"Aliciella humillima"	234175.51
"Aliciella hutchinsifolia"	522693.25
"Aliciella latifolia"	444525.13
"Aliciella leptomeria"	1322031.17
"Aliciella lottiae"	404825.96
"Aliciella mcvickerae"	201589.76
"Aliciella micromeria"	591266.11
"Aliciella monoensis"	347132.69
"Aliciella nyensis"	74599.52
"Aliciella penstemonoides"	22803.76
"Aliciella pinnatifida"	525309.01
"Aliciella ripleyi"	174114.13
"Aliciella sedifolia"	12404.91
"Aliciella stenothyrsa"	64795.93
"Aliciella subacaulis"	27169.57
"Aliciella subnuda"	175363.54
"Aliciella tenuis"	22928.84
"Aliciella triodon"	705615.76
"Alisma gramineum"	1541685.17
"Alisma subcordatum"	2154732.27
"Alisma triviale"	3284905.70
"Allenrolfea occidentalis"	1163250.83
"Allionia choisyi"	513073.24
"Allionia incarnata"	1609411.69
"Allium aaseae"	22025.96
"Allium abramsii"	33702.14
"Allium acuminatum"	1570574.23
"Allium allegheniense"	15946.68
"Allium amplectens"	412574.42
"Allium anceps"	400930.22
"Allium atrorubens"	499417.13
"Allium bigelovii"	182043.01
"Allium bisceptrum"	1174345.85
"Allium bolanderi"	107862.35
"Allium brandegeei"	581718.85
"Allium brevistylum"	520675.16
"Allium burlewii"	93897.63
"Allium campanulatum"	506645.42
"Allium canadense"	3221553.10
"Allium cernuum"	2275461.58
"Allium columbianum"	70945.04
"Allium constrictum"	18060.62
"Allium coryi"	50172.20
"Allium cratericola"	163306.91
"Allium crenulatum"	128224.12
"Allium crispum"	81623.11
"Allium cuthbertii"	113335.61
"Allium denticulatum"	36859.20
"Allium diabolense"	65686.28
"Allium dichlamydeum"	35366.50
"Allium dictuon"	15651.36
"Allium douglasii"	119197.72
"Allium drummondii"	1081156.71
"Allium elmendorfii"	23920.82
"Allium falcifolium"	122804.93
"Allium fibrillum"	207841.86
"Allium fimbriatum"	220536.05
"Allium geyeri"	1589426.67
"Allium gooddingii"	133616.38
"Allium haematochiton"	75835.57
"Allium hickmanii"	16886.46
"Allium hoffmanii"	35021.61
"Allium howellii"	100302.61
"Allium hyalinum"	112645.44
"Allium jepsonii"	18390.68
"Allium kunthii"	299960.52
"Allium lacunosum"	191677.33
"Allium lemmonii"	355697.81
"Allium macropetalum"	703174.67
"Allium macrum"	196113.05
"Allium madidum"	115595.17
"Allium marvinii"	71048.20
"Allium membranaceum"	74551.32
"Allium monticola"	24155.44
"Allium munzii"	18943.35
"Allium nevadense"	756824.60
"Allium nevii"	37460.56
"Allium obtusum"	152388.90
"Allium oxyphilum"	8003.62
"Allium parishii"	131218.73
"Allium parryi"	49413.86
"Allium parvum"	682633.73
"Allium passeyi"	14271.48
"Allium peninsulare"	242119.44
"Allium perdulce"	679652.27
"Allium platycaule"	128638.67
"Allium pleianthum"	28337.31
